Crop,State,Disease,Pathogen,Symptoms,Cultural_Management,Chemical_Management,Dose,Season
Wheat,Assam,WheatBlast,Magnaporthe oryzae pathotype Triticum,"Grey lesions, spike bleaching, shriveled grains","Burn infected residues, avoid late sowing",Tebuconazole / Tricyclazole,1 ml/L,Rabi
Rice,Assam,Bacterialblight,Xanthomonas oryzae pv. oryzae,Yellowing/drying from leaf tip downward,"Drain excess water, use resistant varieties",Copper oxychloride,2.5 g/L,Kharif
Rice,Assam,Brownspot,Bipolaris oryzae,Brown circular lesions on leaves,"Balanced NPK, seed treatment",Mancozeb / Propiconazole,2 g/L,Kharif
Rice,Assam,Leafsmut,Entyloma oryzae,Black linear sori on leaves,"Remove infected debris, avoid dense planting",Carbendazim 50% WP,1 g/L,Kharif
Wheat,Jharkhand,BlackPoint,Cochliobolus sativus,Black discoloration at embryo end of grains,"Use clean seed, proper drying, avoid late irrigation",Carbendazim 50% WP,2 g/kg seed,Rabi
Wheat,Jharkhand,FusariumFootRot,Fusarium spp.,"Brown foot rot, stunted plant growth","Crop rotation, deep ploughing",Thiram / Carboxin,3 g/kg seed,Rabi
Wheat,Jharkhand,HealthyLeaf,—,No visible symptoms (healthy leaf sample),—,—,—,All
Wheat,Jharkhand,LeafBlight,Alternaria triticina,Brown necrotic patches on leaves,"Balanced fertilizer, avoid moisture stress",Mancozeb 75% WP,2 g/L,Rabi
Wheat,Jharkhand,WheatBlast,Magnaporthe oryzae pathotype Triticum,"Grey lesions, spike bleaching, shriveled grains","Burn infected residues, avoid late sowing",Tebuconazole / Tricyclazole,1 ml/L,Rabi
Rice,Jharkhand,Bacterialblight,Xanthomonas oryzae pv. oryzae,Yellowing/drying from leaf tip downward,"Drain excess water, use resistant varieties",Copper oxychloride,2.5 g/L,Kharif
Rice,Jharkhand,Brownspot,Bipolaris oryzae,Brown circular lesions on leaves,"Balanced NPK, seed treatment",Mancozeb / Propiconazole,2 g/L,Kharif
Rice,Jharkhand,Leafsmut,Entyloma oryzae,Black linear sori on leaves,"Remove infected debris, avoid dense planting",Carbendazim 50% WP,1 g/L,Kharif
Wheat,Chhattisgarh,BlackPoint,Cochliobolus sativus,Black discoloration at embryo end of grains,"Use clean seed, proper drying, avoid late irrigation",Carbendazim 50% WP,2 g/kg seed,Rabi
Wheat,Chhattisgarh,FusariumFootRot,Fusarium spp.,"Brown foot rot, stunted plant growth","Crop rotation, deep ploughing",Thiram / Carboxin,3 g/kg seed,Rabi
Wheat,Chhattisgarh,HealthyLeaf,—,No visible symptoms (healthy leaf sample),—,—,—,All
Wheat,Chhattisgarh,LeafBlight,Alternaria triticina,Brown necrotic patches on leaves,"Balanced fertilizer, avoid moisture stress",Mancozeb 75% WP,2 g/L,Rabi
Wheat,Chhattisgarh,WheatBlast,Magnaporthe oryzae pathotype Triticum,"Grey lesions, spike bleaching, shriveled grains","Burn infected residues, avoid late sowing",Tebuconazole / Tricyclazole,1 ml/L,Rabi
Rice,Chhattisgarh,Bacterialblight,Xanthomonas oryzae pv. oryzae,Yellowing/drying from leaf tip downward,"Drain excess water, use resistant varieties",Copper oxychloride,2.5 g/L,Kharif
Rice,Chhattisgarh,Brownspot,Bipolaris oryzae,Brown circular lesions on leaves,"Balanced NPK, seed treatment",Mancozeb / Propiconazole,2 g/L,Kharif
Rice,Chhattisgarh,Leafsmut,Entyloma oryzae,Black linear sori on leaves,"Remove infected debris, avoid dense planting",Carbendazim 50% WP,1 g/L,Kharif
Wheat,Tamil Nadu,BlackPoint,Cochliobolus sativus,Black discoloration at embryo end of grains,"Use clean seed, proper drying, avoid late irrigation",Carbendazim 50% WP,2 g/kg seed,Rabi
Wheat,Tamil Nadu,FusariumFootRot,Fusarium spp.,"Brown foot rot, stunted plant growth","Crop rotation, deep ploughing",Thiram / Carboxin,3 g/kg seed,Rabi
Wheat,Tamil Nadu,HealthyLeaf,—,No visible symptoms (healthy leaf sample),—,—,—,All
Wheat,Tamil Nadu,LeafBlight,Alternaria triticina,Brown necrotic patches on leaves,"Balanced fertilizer, avoid moisture stress",Mancozeb 75% WP,2 g/L,Rabi
Wheat,Tamil Nadu,WheatBlast,Magnaporthe oryzae pathotype Triticum,"Grey lesions, spike bleaching, shriveled grains","Burn infected residues, avoid late sowing",Tebuconazole / Tricyclazole,1 ml/L,Rabi
Rice,Tamil Nadu,Bacterialblight,Xanthomonas oryzae pv. oryzae,Yellowing/drying from leaf tip downward,"Drain excess water, use resistant varieties",Copper oxychloride,2.5 g/L,Kharif
Rice,Tamil Nadu,Brownspot,Bipolaris oryzae,Brown circular lesions on leaves,"Balanced NPK, seed treatment",Mancozeb / Propiconazole,2 g/L,Kharif
Rice,Tamil Nadu,Leafsmut,Entyloma oryzae,Black linear sori on leaves,"Remove infected debris, avoid dense planting",Carbendazim 50% WP,1 g/L,Kharif
Wheat,Karnataka,BlackPoint,Cochliobolus sativus,Black discoloration at embryo end of grains,"Use clean seed, proper drying, avoid late irrigation",Carbendazim 50% WP,2 g/kg seed,Rabi
Wheat,Karnataka,FusariumFootRot,Fusarium spp.,"Brown foot rot, stunted plant growth","Crop rotation, deep ploughing",Thiram / Carboxin,3 g/kg seed,Rabi
Wheat,Karnataka,HealthyLeaf,—,No visible symptoms (healthy leaf sample),—,—,—,All
Wheat,Karnataka,LeafBlight,Alternaria triticina,Brown necrotic patches on leaves,"Balanced fertilizer, avoid moisture stress",Mancozeb 75% WP,2 g/L,Rabi
Wheat,Karnataka,WheatBlast,Magnaporthe oryzae pathotype Triticum,"Grey lesions, spike bleaching, shriveled grains","Burn infected residues, avoid late sowing",Tebuconazole / Tricyclazole,1 ml/L,Rabi
Rice,Karnataka,Bacterialblight,Xanthomonas oryzae pv. oryzae,Yellowing/drying from leaf tip downward,"Drain excess water, use resistant varieties",Copper oxychloride,2.5 g/L,Kharif
Rice,Karnataka,Brownspot,Bipolaris oryzae,Brown circular lesions on leaves,"Balanced NPK, seed treatment",Mancozeb / Propiconazole,2 g/L,Kharif
Rice,Karnataka,Leafsmut,Entyloma oryzae,Black linear sori on leaves,"Remove infected debris, avoid dense planting",Carbendazim 50% WP,1 g/L,Kharif
Wheat,Andhra Pradesh,BlackPoint,Cochliobolus sativus,Black discoloration at embryo end of grains,"Use clean seed, proper drying, avoid late irrigation",Carbendazim 50% WP,2 g/kg seed,Rabi
Wheat,Andhra Pradesh,FusariumFootRot,Fusarium spp.,"Brown foot rot, stunted plant growth","Crop rotation, deep ploughing",Thiram / Carboxin,3 g/kg seed,Rabi
Wheat,Andhra Pradesh,HealthyLeaf,—,No visible symptoms (healthy leaf sample),—,—,—,All
Wheat,Andhra Pradesh,LeafBlight,Alternaria triticina,Brown necrotic patches on leaves,"Balanced fertilizer, avoid moisture stress",Mancozeb 75% WP,2 g/L,Rabi
Wheat,Andhra Pradesh,WheatBlast,Magnaporthe oryzae pathotype Triticum,"Grey lesions, spike bleaching, shriveled grains","Burn infected residues, avoid late sowing",Tebuconazole / Tricyclazole,1 ml/L,Rabi
Rice,Andhra Pradesh,Bacterialblight,Xanthomonas oryzae pv. oryzae,Yellowing/drying from leaf tip downward,"Drain excess water, use resistant varieties",Copper oxychloride,2.5 g/L,Kharif
Rice,Andhra Pradesh,Brownspot,Bipolaris oryzae,Brown circular lesions on leaves,"Balanced NPK, seed treatment",Mancozeb / Propiconazole,2 g/L,Kharif
Rice,Andhra Pradesh,Leafsmut,Entyloma oryzae,Black linear sori on leaves,"Remove infected debris, avoid dense planting",Carbendazim 50% WP,1 g/L,Kharif
Wheat,Telangana,BlackPoint,Cochliobolus sativus,Black discoloration at embryo end of grains,"Use clean seed, proper drying, avoid late irrigation",Carbendazim 50% WP,2 g/kg seed,Rabi
Wheat,Telangana,FusariumFootRot,Fusarium spp.,"Brown foot rot, stunted plant growth","Crop rotation, deep ploughing",Thiram / Carboxin,3 g/kg seed,Rabi
Wheat,Telangana,HealthyLeaf,—,No visible symptoms (healthy leaf sample),—,—,—,All
Wheat,Telangana,LeafBlight,Alternaria triticina,Brown necrotic patches on leaves,"Balanced fertilizer, avoid moisture stress",Mancozeb 75% WP,2 g/L,Rabi
Wheat,Telangana,WheatBlast,Magnaporthe oryzae pathotype Triticum,"Grey lesions, spike bleaching, shriveled grains","Burn infected residues, avoid late sowing",Tebuconazole / Tricyclazole,1 ml/L,Rabi
Rice,Telangana,Bacterialblight,Xanthomonas oryzae pv. oryzae,Yellowing/drying from leaf tip downward,"Drain excess water, use resistant varieties",Copper oxychloride,2.5 g/L,Kharif
Rice,Telangana,Brownspot,Bipolaris oryzae,Brown circular lesions on leaves,"Balanced NPK, seed treatment",Mancozeb / Propiconazole,2 g/L,Kharif
Rice,Telangana,Leafsmut,Entyloma oryzae,Black linear sori on leaves,"Remove infected debris, avoid dense planting",Carbendazim 50% WP,1 g/L,Kharif
Wheat,Kerala,BlackPoint,Cochliobolus sativus,Black discoloration at embryo end of grains,"Use clean seed, proper drying, avoid late irrigation",Carbendazim 50% WP,2 g/kg seed,Rabi
Wheat,Kerala,FusariumFootRot,Fusarium spp.,"Brown foot rot, stunted plant growth","Crop rotation, deep ploughing",Thiram / Carboxin,3 g/kg seed,Rabi
Wheat,Kerala,HealthyLeaf,—,No visible symptoms (healthy leaf sample),—,—,—,All
Wheat,Kerala,LeafBlight,Alternaria triticina,Brown necrotic patches on leaves,"Balanced fertilizer, avoid moisture stress",Mancozeb 75% WP,2 g/L,Rabi
Wheat,Kerala,WheatBlast,Magnaporthe oryzae pathotype Triticum,"Grey lesions, spike bleaching, shriveled grains","Burn infected residues, avoid late sowing",Tebuconazole / Tricyclazole,1 ml/L,Rabi
Rice,Kerala,Bacterialblight,Xanthomonas oryzae pv. oryzae,Yellowing/drying from leaf tip downward,"Drain excess water, use resistant varieties",Copper oxychloride,2.5 g/L,Kharif
Rice,Kerala,Brownspot,Bipolaris oryzae,Brown circular lesions on leaves,"Balanced NPK, seed treatment",Mancozeb / Propiconazole,2 g/L,Kharif
Rice,Kerala,Leafsmut,Entyloma oryzae,Black linear sori on leaves,"Remove infected debris, avoid dense planting",Carbendazim 50% WP,1 g/L,Kharif
Wheat,Himachal Pradesh,BlackPoint,Cochliobolus sativus,Black discoloration at embryo end of grains,"Use clean seed, proper drying, avoid late irrigation",Carbendazim 50% WP,2 g/kg seed,Rabi
Wheat,Himachal Pradesh,FusariumFootRot,Fusarium spp.,"Brown foot rot, stunted plant growth","Crop rotation, deep ploughing",Thiram / Carboxin,3 g/kg seed,Rabi
Wheat,Himachal Pradesh,HealthyLeaf,—,No visible symptoms (healthy leaf sample),—,—,—,All
Wheat,Himachal Pradesh,LeafBlight,Alternaria triticina,Brown necrotic patches on leaves,"Balanced fertilizer, avoid moisture stress",Mancozeb 75% WP,2 g/L,Rabi
Wheat,Himachal Pradesh,WheatBlast,Magnaporthe oryzae pathotype Triticum,"Grey lesions, spike bleaching, shriveled grains","Burn infected residues, avoid late sowing",Tebuconazole / Tricyclazole,1 ml/L,Rabi
Rice,Himachal Pradesh,Bacterialblight,Xanthomonas oryzae pv. oryzae,Yellowing/drying from leaf tip downward,"Drain excess water, use resistant varieties",Copper oxychloride,2.5 g/L,Kharif
Rice,Himachal Pradesh,Brownspot,Bipolaris oryzae,Brown circular lesions on leaves,"Balanced NPK, seed treatment",Mancozeb / Propiconazole,2 g/L,Kharif
Rice,Himachal Pradesh,Leafsmut,Entyloma oryzae,Black linear sori on leaves,"Remove infected debris, avoid dense planting",Carbendazim 50% WP,1 g/L,Kharif
Wheat,Uttarakhand,BlackPoint,Cochliobolus sativus,Black discoloration at embryo end of grains,"Use clean seed, proper drying, avoid late irrigation",Carbendazim 50% WP,2 g/kg seed,Rabi
Wheat,Uttarakhand,FusariumFootRot,Fusarium spp.,"Brown foot rot, stunted plant growth","Crop rotation, deep ploughing",Thiram / Carboxin,3 g/kg seed,Rabi
Wheat,Uttarakhand,HealthyLeaf,—,No visible symptoms (healthy leaf sample),—,—,—,All
Wheat,Uttarakhand,LeafBlight,Alternaria triticina,Brown necrotic patches on leaves,"Balanced fertilizer, avoid moisture stress",Mancozeb 75% WP,2 g/L,Rabi
Wheat,Uttarakhand,WheatBlast,Magnaporthe oryzae pathotype Triticum,"Grey lesions, spike bleaching, shriveled grains","Burn infected residues, avoid late sowing",Tebuconazole / Tricyclazole,1 ml/L,Rabi
Rice,Uttarakhand,Bacterialblight,Xanthomonas oryzae pv. oryzae,Yellowing/drying from leaf tip downward,"Drain excess water, use resistant varieties",Copper oxychloride,2.5 g/L,Kharif
Rice,Uttarakhand,Brownspot,Bipolaris oryzae,Brown circular lesions on leaves,"Balanced NPK, seed treatment",Mancozeb / Propiconazole,2 g/L,Kharif
Rice,Uttarakhand,Leafsmut,Entyloma oryzae,Black linear sori on leaves,"Remove infected debris, avoid dense planting",Carbendazim 50% WP,1 g/L,Kharif
Wheat,Jammu & Kashmir,BlackPoint,Cochliobolus sativus,Black discoloration at embryo end of grains,"Use clean seed, proper drying, avoid late irrigation",Carbendazim 50% WP,2 g/kg seed,Rabi
Wheat,Jammu & Kashmir,FusariumFootRot,Fusarium spp.,"Brown foot rot, stunted plant growth","Crop rotation, deep ploughing",Thiram / Carboxin,3 g/kg seed,Rabi
Wheat,Jammu & Kashmir,HealthyLeaf,—,No visible symptoms (healthy leaf sample),—,—,—,All
Wheat,Jammu & Kashmir,LeafBlight,Alternaria triticina,Brown necrotic patches on leaves,"Balanced fertilizer, avoid moisture stress",Mancozeb 75% WP,2 g/L,Rabi
Wheat,Jammu & Kashmir,WheatBlast,Magnaporthe oryzae pathotype Triticum,"Grey lesions, spike bleaching, shriveled grains","Burn infected residues, avoid late sowing",Tebuconazole / Tricyclazole,1 ml/L,Rabi
Rice,Jammu & Kashmir,Bacterialblight,Xanthomonas oryzae pv. oryzae,Yellowing/drying from leaf tip downward,"Drain excess water, use resistant varieties",Copper oxychloride,2.5 g/L,Kharif
Rice,Jammu & Kashmir,Brownspot,Bipolaris oryzae,Brown circular lesions on leaves,"Balanced NPK, seed treatment",Mancozeb / Propiconazole,2 g/L,Kharif
Rice,Jammu & Kashmir,Leafsmut,Entyloma oryzae,Black linear sori on leaves,"Remove infected debris, avoid dense planting",Carbendazim 50% WP,1 g/L,Kharif
